scope,model,target,strategy,cost_bps,best_by,best_threshold,metric_value,metric_at_threshold0
per_target,mlp,y_XLV,long_short,3.0,sharpe,0.003,-1.1535136023291226,-1.3377171143431972
per_target,mlp,y_XLY,long_flat,3.0,cum_return,0.0,0.3638754228989498,0.3638754228989498
per_target,mlp,y_XLY,long_flat,3.0,sharpe,0.0,0.6180564793016639,0.6180564793016639
per_target,mlp,y_XLY,long_short,3.0,cum_return,0.0,0.2856931588307305,0.2856931588307305
per_target,mlp,y_XLY,long_short,3.0,sharpe,0.0,0.4440592458434843,0.4440592458434843
per_target,rf,y_BTC-USD,long_flat,3.0,cum_return,0.003,1.8291241665628288,0.7861464146276407
per_target,rf,y_BTC-USD,long_flat,3.0,sharpe,0.003,0.8195779133631774,0.4675227247296777
per_target,rf,y_BTC-USD,long_short,3.0,cum_return,0.003,1.0156306300942437,-0.1473959403013282
per_target,rf,y_BTC-USD,long_short,3.0,sharpe,0.005,0.614824987965952,0.1193418072044396
per_target,rf,y_GLD,long_flat,3.0,cum_return,0.0,0.8597037837194526,0.8597037837194526
per_target,rf,y_GLD,long_flat,3.0,sharpe,0.0,1.2396169390104466,1.2396169390104466
per_target,rf,y_GLD,long_short,3.0,cum_return,0.0,0.1523193701963683,0.1523193701963683
per_target,rf,y_GLD,long_short,3.0,sharpe,0.0,0.3157192529101497,0.3157192529101497
per_target,rf,y_TLT,long_flat,3.0,cum_return,0.0005,0.2095175417245276,0.1998111630169328
per_target,rf,y_TLT,long_flat,3.0,sharpe,0.005,0.9738218944288318,0.7496762592722673
per_target,rf,y_TLT,long_short,3.0,cum_return,0.0,0.6719197597632152,0.6719197597632152
per_target,rf,y_TLT,long_short,3.0,sharpe,0.0,1.3912266667867148,1.3912266667867148
per_target,rf,y_UUP,long_flat,3.0,cum_return,0.0,0.05417791769369,0.05417791769369
per_target,rf,y_UUP,long_flat,3.0,sharpe,0.003,0.8950773009634371,0.3232765626728177
per_target,rf,y_UUP,long_short,3.0,cum_return,0.003,0.0394560815347446,-0.0053275875014905
per_target,rf,y_UUP,long_short,3.0,sharpe,0.003,1.3101607192302198,0.0137513666422556
per_target,rf,y_XLB,long_flat,3.0,cum_return,0.005,-0.0425144200667861,-0.5726679082027258
per_target,rf,y_XLB,long_flat,3.0,sharpe,0.005,-1.2728585385954936,-1.920180596599923
per_target,rf,y_XLB,long_short,3.0,cum_return,0.005,0.1207144331815026,-0.8248441485132074
per_target,rf,y_XLB,long_short,3.0,sharpe,0.005,0.5880155499070312,-2.65413530198666
per_target,rf,y_XLC,long_flat,3.0,cum_return,0.0,0.6101571737655032,0.6101571737655032
per_target,rf,y_XLC,long_flat,3.0,sharpe,0.0,1.197136355541525,1.197136355541525
per_target,rf,y_XLC,long_short,3.0,cum_return,0.0,0.6179978705073694,0.6179978705073694
per_target,rf,y_XLC,long_short,3.0,sharpe,0.0,0.908952607358832,0.908952607358832
per_target,rf,y_XLE,long_flat,3.0,cum_return,0.002,0.3326598906576843,0.1196009019772204
per_target,rf,y_XLE,long_flat,3.0,sharpe,0.002,0.5531043477786345,0.2690921884100096
per_target,rf,y_XLE,long_short,3.0,cum_return,0.003,0.2669912364914861,-0.1832103687816432
per_target,rf,y_XLE,long_short,3.0,sharpe,0.003,0.5023201816881379,-0.1270650682115603
per_target,rf,y_XLF,long_flat,3.0,cum_return,0.0005,0.4526401003788305,0.1568729260054147
per_target,rf,y_XLF,long_flat,3.0,sharpe,0.0005,0.9140581274559076,0.3744069718566382
per_target,rf,y_XLF,long_short,3.0,cum_return,0.0005,0.2851037848904816,-0.1173716510840277
